cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision
6123.764705882353,2025-01-28T19:01:00.766Z,23.7238829,90.4108143,50.407485963400404,0.939,1,3,153
6182.64705882353,2025-01-28T19:01:00.824Z,23.7238822,90.410815,50.4024859634004,0.965,0.99,3,153
6241.529411764706,2025-01-28T19:01:00.882Z,23.7238814,90.4108155,50.337485963400404,1.014,1.02,3,153
6300.411764705883,2025-01-28T19:01:00.941Z,23.7238807,90.4108159,50.318485963400406,1.025,1.07,3,153
6359.2941176470595,2025-01-28T19:01:00.999Z,23.7238799,90.4108164,50.28748596340041,1.047,1.08,3,153
6418.176470588236,2025-01-28T19:01:01.057Z,23.7238786,90.410817,50.24748596340041,1.106,1.1,3,153
6477.058823529413,2025-01-28T19:01:01.115Z,23.723878,90.4108174,50.196485963400406,1.12,1.16,3,153
6535.941176470589,2025-01-28T19:01:01.174Z,23.7238773,90.4108176,50.199485963400406,1.13,1.18,3,153
6594.823529411766,2025-01-28T19:01:01.232Z,23.7238762,90.4108172,50.211485963400406,1.143,1.18,3,153
6653.705882352942,2025-01-28T19:01:01.290Z,23.7238755,90.4108169,50.2004859634004,1.165,1.2,3,153
6712.588235294119,2025-01-28T19:01:01.348Z,23.7238751,90.4108167,50.1804859634004,1.135,1.22,3,153
6771.4705882352955,2025-01-28T19:01:01.407Z,23.7238748,90.410816,50.111485963400405,1.075,1.19,3,153
6830.352941176472,2025-01-28T19:01:01.465Z,23.7238743,90.4108159,50.11048596340041,1.052,1.14,3,153
6889.235294117649,2025-01-28T19:01:01.523Z,23.7238739,90.410816,50.099485963400404,1.001,1.11,3,153
6948.117647058825,2025-01-28T19:01:01.581Z,23.7238734,90.4108162,50.0644859634004,0.979,1.07,3,153
7007,2025-01-28T19:01:01.640Z,23.7238726,90.4108167,50.010485963400406,0.995,1.05,3,192
7062.611111111111,2025-01-28T19:01:01.695Z,23.7238716,90.4108169,49.9934859634004,1.03,1.07,3,192
7118.222222222223,2025-01-28T19:01:01.750Z,23.7238713,90.4108168,50.016485963400406,1.015,1.1,3,192
7173.833333333334,2025-01-28T19:01:01.805Z,23.7238711,90.4108168,50.0144859634004,0.995,1.08,3,192
7229.444444444445,2025-01-28T19:01:01.860Z,23.7238709,90.4108169,50.00648596340041,0.964,1.07,3,192
7285.055555555557,2025-01-28T19:01:01.915Z,23.7238707,90.4108173,50.065485963400405,0.921,1.04,3,192
7340.666666666668,2025-01-28T19:01:01.970Z,23.7238702,90.4108169,50.147485963400406,0.97,0.99,3,192
7396.277777777779,2025-01-28T19:01:02.025Z,23.7238695,90.4108167,50.203485963400404,1.024,1.03,3,192
7451.8888888888905,2025-01-28T19:01:02.080Z,23.7238685,90.4108166,50.2524859634004,1.105,1.08,3,192
7507.500000000002,2025-01-28T19:01:02.135Z,23.723868,90.4108165,50.26248596340041,1.138,1.16,3,192
7563.111111111113,2025-01-28T19:01:02.190Z,23.7238676,90.4108165,50.3504859634004,1.135,1.19,3,192
7618.722222222224,2025-01-28T19:01:02.245Z,23.7238673,90.4108161,50.3044859634004,1.148,1.18,3,192
7674.333333333336,2025-01-28T19:01:02.300Z,23.7238679,90.4108154,50.327485963400406,1.054,1.2,3,192
7729.944444444447,2025-01-28T19:01:02.355Z,23.7238672,90.4108151,50.29648596340041,1.086,1.11,3,192
7785.555555555558,2025-01-28T19:01:02.410Z,23.7238666,90.4108147,50.269485963400406,1.091,1.14,3,192
7841.16666666667,2025-01-28T19:01:02.465Z,23.7238663,90.4108144,50.2554859634004,1.069,1.14,3,192
7896.777777777781,2025-01-28T19:01:02.520Z,23.7238657,90.4108143,50.227485963400405,1.069,1.12,3,192
7952.388888888892,2025-01-28T19:01:02.575Z,23.7238649,90.4108141,50.1554859634004,1.088,1.12,3,192
8008,2025-01-28T19:01:02.630Z,23.7238642,90.4108142,50.062485963400405,1.078,1.15,3,163
8063.611111111111,2025-01-28T19:01:02.685Z,23.7238638,90.410814,49.989485963400405,1.047,1.14,3,163
8119.222222222223,2025-01-28T19:01:02.740Z,23.7238626,90.410814,49.92148596340041,1.153,1.12,3,163
8174.833333333334,2025-01-28T19:01:02.795Z,23.7238611,90.410815,49.831485963400404,1.185,1.22,3,163
8230.444444444445,2025-01-28T19:01:02.850Z,23.7238603,90.4108155,49.8264859634004,1.185,1.25,3,163
8286.055555555557,2025-01-28T19:01:02.905Z,23.7238595,90.4108159,49.8684859634004,1.164,1.25,3,163
8341.666666666668,2025-01-28T19:01:02.960Z,23.7238584,90.4108166,49.9754859634004,1.205,1.23,3,163
