cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision
5005,2025-01-28T18:23:08.600Z,23.7628998,90.410258,3.894191635778782,3.194,3.16,3,167
5057.684210526316,2025-01-28T18:23:08.655Z,23.7628985,90.4102569,3.9421916357787836,3.141,3.19,3,167
5110.368421052632,2025-01-28T18:23:08.710Z,23.7628972,90.4102558,3.957191635778784,3.161,3.14,3,167
5163.0526315789475,2025-01-28T18:23:08.765Z,23.7628959,90.4102547,3.995191635778781,3.133,3.16,3,167
5215.736842105263,2025-01-28T18:23:08.820Z,23.7628948,90.4102536,3.951191635778784,3.203,3.13,3,167
5268.421052631579,2025-01-28T18:23:08.875Z,23.7628937,90.4102524,3.9091916357787824,3.247,3.2,3,167
5321.105263157895,2025-01-28T18:23:08.930Z,23.7628926,90.4102513,3.890191635778784,3.256,3.25,3,167
5373.789473684211,2025-01-28T18:23:08.985Z,23.7628915,90.4102501,3.883191635778779,3.182,3.26,3,167
5426.473684210527,2025-01-28T18:23:09.040Z,23.7628904,90.4102491,3.9051916357787846,3.101,3.18,3,167
5479.1578947368425,2025-01-28T18:23:09.095Z,23.7628892,90.410248,3.90419163577878,3.108,3.1,3,167
5531.842105263158,2025-01-28T18:23:09.150Z,23.762888,90.4102467,3.900191635778782,3.186,3.11,3,167
5584.526315789474,2025-01-28T18:23:09.205Z,23.7628868,90.4102455,3.894191635778782,3.222,3.19,3,167
5637.21052631579,2025-01-28T18:23:09.260Z,23.7628856,90.4102443,3.866191635778783,3.253,3.22,3,167
5689.894736842106,2025-01-28T18:23:09.315Z,23.7628845,90.4102434,3.900191635778782,3.104,3.25,3,167
5742.578947368422,2025-01-28T18:23:09.370Z,23.7628834,90.4102423,3.894191635778782,3.09,3.1,3,167
5795.263157894738,2025-01-28T18:23:09.425Z,23.7628822,90.4102413,3.8781916357787836,3.056,3.09,3,167
5847.947368421053,2025-01-28T18:23:09.480Z,23.7628812,90.4102403,3.8571916357787828,3.027,3.06,3,167
5900.631578947369,2025-01-28T18:23:09.535Z,23.76288,90.4102391,3.8791916357787812,3.03,3.03,3,167
5953.315789473685,2025-01-28T18:23:09.590Z,23.7628789,90.410238,3.8641916357787807,3.072,3.03,3,167
6006,2025-01-28T18:23:09.645Z,23.7628777,90.4102369,3.822191635778779,3.13,3.07,3,164
6061.611111111111,2025-01-28T18:23:09.700Z,23.7628766,90.4102357,3.7871916357787825,3.179,3.13,3,164
6117.222222222223,2025-01-28T18:23:09.755Z,23.7628753,90.4102346,3.7761916357787797,3.214,3.18,3,164
6172.833333333334,2025-01-28T18:23:09.810Z,23.7628741,90.4102333,3.8001916357787806,3.202,3.21,3,164
6228.444444444445,2025-01-28T18:23:09.865Z,23.7628728,90.4102322,3.812191635778781,3.219,3.2,3,164
6284.055555555557,2025-01-28T18:23:09.920Z,23.7628716,90.410231,3.806191635778781,3.198,3.22,3,164
6339.666666666668,2025-01-28T18:23:09.975Z,23.7628706,90.4102299,3.778191635778782,3.142,3.2,3,164
6395.277777777779,2025-01-28T18:23:10.030Z,23.7628692,90.4102288,3.816191635778779,3.15,3.14,3,164
6450.8888888888905,2025-01-28T18:23:10.085Z,23.7628679,90.4102276,3.8181916357787813,3.208,3.15,3,164
6506.500000000002,2025-01-28T18:23:10.140Z,23.7628669,90.4102265,3.7911916357787803,3.17,3.21,3,164
6562.111111111113,2025-01-28T18:23:10.195Z,23.7628657,90.4102253,3.7941916357787804,3.178,3.17,3,164
6617.722222222224,2025-01-28T18:23:10.250Z,23.7628645,90.4102242,3.78819163577878,3.182,3.18,3,164
6673.333333333336,2025-01-28T18:23:10.305Z,23.7628632,90.410223,3.8201916357787837,3.158,3.18,3,164
6728.944444444447,2025-01-28T18:23:10.360Z,23.762862,90.4102219,3.8341916357787795,3.152,3.16,3,164
6784.555555555558,2025-01-28T18:23:10.415Z,23.7628608,90.4102208,3.8571916357787828,3.113,3.15,3,164
6840.16666666667,2025-01-28T18:23:10.470Z,23.7628597,90.4102198,3.812191635778781,3.125,3.11,3,164
6895.777777777781,2025-01-28T18:23:10.525Z,23.7628584,90.4102188,3.816191635778779,3.15,3.13,3,164
6951.388888888892,2025-01-28T18:23:10.580Z,23.7628572,90.4102177,3.8371916357787796,3.123,3.15,3,164
7007,2025-01-28T18:23:10.635Z,23.7628561,90.4102166,3.829191635778784,3.102,3.12,3,150
7062.611111111111,2025-01-28T18:23:10.690Z,23.7628547,90.4102152,3.8651916357787854,3.282,3.1,3,150
7118.222222222223,2025-01-28T18:23:10.745Z,23.7628535,90.410214,3.839191635778782,3.331,3.28,3,150
7173.833333333334,2025-01-28T18:23:10.800Z,23.7628523,90.4102129,3.850191635778785,3.217,3.33,3,150
7229.444444444445,2025-01-28T18:23:10.855Z,23.7628512,90.4102119,3.8551916357787803,3.121,3.22,3,150
7285.055555555557,2025-01-28T18:23:10.910Z,23.7628499,90.4102108,3.870191635778781,3.188,3.12,3,150
7340.666666666668,2025-01-28T18:23:10.965Z,23.7628487,90.4102097,3.842191635778782,3.174,3.19,3,150
7396.277777777779,2025-01-28T18:23:11.020Z,23.7628475,90.4102088,3.8071916357787785,3.16,3.17,3,150
7451.8888888888905,2025-01-28T18:23:11.075Z,23.7628464,90.4102079,3.755191635778779,3.144,3.16,3,150
7507.500000000002,2025-01-28T18:23:11.130Z,23.762845,90.4102068,3.7841916357787824,3.131,3.14,3,150
7563.111111111113,2025-01-28T18:23:11.185Z,23.7628439,90.4102056,3.778191635778782,3.152,3.13,3,150
7618.722222222224,2025-01-28T18:23:11.240Z,23.7628425,90.4102046,3.789191635778785,3.212,3.15,3,150
7674.333333333336,2025-01-28T18:23:11.295Z,23.7628412,90.4102035,3.8011916357787854,3.255,3.21,3,150
7729.944444444447,2025-01-28T18:23:11.350Z,23.76284,90.4102023,3.7941916357787804,3.232,3.26,3,150
7785.555555555558,2025-01-28T18:23:11.405Z,23.7628388,90.4102015,3.7971916357787805,3.087,3.23,3,150
7841.16666666667,2025-01-28T18:23:11.460Z,23.7628376,90.4102004,3.7911916357787803,3.056,3.09,3,150
7896.777777777781,2025-01-28T18:23:11.515Z,23.7628365,90.4101991,3.8141916357787835,3.092,3.06,3,150
7952.388888888892,2025-01-28T18:23:11.570Z,23.7628355,90.4101981,3.842191635778782,2.963,3.09,3,150
8008,2025-01-28T18:23:11.625Z,23.7628343,90.4101969,3.850191635778785,3.053,2.96,3,201
8060.684210526316,2025-01-28T18:23:11.680Z,23.7628332,90.4101957,3.8451916357787823,3.115,3.05,3,201
8113.368421052632,2025-01-28T18:23:11.735Z,23.762832,90.4101944,3.853191635778785,3.208,3.12,3,201
8166.0526315789475,2025-01-28T18:23:11.790Z,23.7628309,90.410193,3.870191635778781,3.231,3.21,3,201
8218.736842105263,2025-01-28T18:23:11.845Z,23.7628298,90.4101918,3.8911916357787817,3.185,3.23,3,201
8271.421052631578,2025-01-28T18:23:11.900Z,23.7628288,90.4101905,3.9121916357787825,3.134,3.19,3,201
8324.105263157893,2025-01-28T18:23:11.955Z,23.7628281,90.410189,3.920191635778785,3.126,3.14,3,201
8376.789473684208,2025-01-28T18:23:12.010Z,23.7628269,90.4101873,3.9381916357787787,3.294,3.13,3,201
8429.473684210523,2025-01-28T18:23:12.065Z,23.762826,90.410186,3.9551916357787817,3.261,3.3,3,201
8482.157894736838,2025-01-28T18:23:12.120Z,23.7628249,90.4101844,3.97119163577878,3.327,3.26,3,201
8534.842105263153,2025-01-28T18:23:12.175Z,23.762824,90.410183,3.9831916357787804,3.278,3.33,3,201
8587.526315789468,2025-01-28T18:23:12.230Z,23.7628234,90.4101817,3.988191635778783,3.113,3.28,3,201
8640.210526315783,2025-01-28T18:23:12.285Z,23.7628225,90.4101802,3.992191635778781,3.158,3.11,3,201
8692.894736842098,2025-01-28T18:23:12.340Z,23.7628214,90.4101789,3.9991916357787787,3.23,3.16,3,201
8745.578947368413,2025-01-28T18:23:12.395Z,23.7628202,90.4101776,4.007191635778781,3.266,3.23,3,201
8798.263157894728,2025-01-28T18:23:12.450Z,23.7628191,90.4101763,4.011191635778779,3.292,3.27,3,201
8850.947368421042,2025-01-28T18:23:12.505Z,23.7628179,90.4101749,3.998191635778781,3.351,3.29,3,201
8903.631578947357,2025-01-28T18:23:12.560Z,23.7628169,90.4101736,3.995191635778781,3.349,3.35,3,201
8956.315789473672,2025-01-28T18:23:12.615Z,23.7628156,90.4101731,3.9991916357787787,3.253,3.35,3,201
9009,2025-01-28T18:23:12.670Z,23.7628145,90.410172,4.003191635778784,3.213,3.25,3,206
9067.882352941177,2025-01-28T18:23:12.725Z,23.7628132,90.4101709,4.009191635778784,3.219,3.21,3,206
9126.764705882353,2025-01-28T18:23:12.780Z,23.762812,90.4101702,4.014191635778779,3.15,3.22,3,206
9185.64705882353,2025-01-28T18:23:12.835Z,23.7628105,90.4101696,4.022191635778782,3.144,3.15,3,206
9244.529411764706,2025-01-28T18:23:12.890Z,23.7628093,90.4101688,4.011191635778779,3.103,3.15,3,206
9303.411764705883,2025-01-28T18:23:12.945Z,23.7628083,90.410168,4.002191635778779,2.978,3.1,3,206
9362.29411764706,2025-01-28T18:23:13.000Z,23.7628069,90.4101664,4.007191635778781,3.212,2.98,3,206
9421.176470588236,2025-01-28T18:23:13.055Z,23.7628056,90.4101657,3.9871916357787853,3.185,3.21,3,206
9480.058823529413,2025-01-28T18:23:13.110Z,23.7628043,90.4101648,3.9621916357787796,3.197,3.19,3,206
9538.94117647059,2025-01-28T18:23:13.165Z,23.7628031,90.4101634,3.9661916357787845,3.215,3.2,3,206
9597.823529411766,2025-01-28T18:23:13.220Z,23.7628019,90.4101621,3.981191635778785,3.271,3.22,3,206
9656.705882352942,2025-01-28T18:23:13.275Z,23.7628009,90.410161,3.995191635778781,3.172,3.27,3,206
9715.588235294119,2025-01-28T18:23:13.330Z,23.7627997,90.4101598,3.984191635778785,3.194,3.17,3,206
9774.470588235296,2025-01-28T18:23:13.385Z,23.7627984,90.4101583,3.9891916357787807,3.3,3.19,3,206
9833.352941176472,2025-01-28T18:23:13.440Z,23.7627975,90.4101564,3.9941916357787832,3.336,3.3,3,206
9892.235294117649,2025-01-28T18:23:13.495Z,23.7627959,90.4101554,3.9861916357787806,3.372,3.34,3,206
9951.117647058825,2025-01-28T18:23:13.550Z,23.7627947,90.4101542,4.004191635778781,3.375,3.37,3,206
10010,2025-01-28T18:23:13.605Z,23.7627936,90.4101532,3.991191635778783,3.272,3.38,3,194
10062.684210526315,2025-01-28T18:23:13.660Z,23.7627923,90.4101522,3.97419163577878,3.253,3.27,3,194
10115.36842105263,2025-01-28T18:23:13.715Z,23.762791,90.4101512,3.957191635778784,3.278,3.25,3,194
10168.052631578945,2025-01-28T18:23:13.770Z,23.7627899,90.41015,3.9831916357787804,3.27,3.28,3,194
10220.73684210526,2025-01-28T18:23:13.825Z,23.7627888,90.4101487,4.008191635778779,3.271,3.27,3,194
10273.421052631575,2025-01-28T18:23:13.880Z,23.7627874,90.4101472,4.017191635778779,3.402,3.27,3,194
10326.10526315789,2025-01-28T18:23:13.935Z,23.762786,90.4101461,4.0471916357787805,3.415,3.4,3,194
10378.789473684204,2025-01-28T18:23:13.990Z,23.7627849,90.4101449,4.0271916357787845,3.356,3.42,3,194
10431.47368421052,2025-01-28T18:23:14.045Z,23.7627841,90.4101443,3.8981916357787796,3.239,3.36,3,194
10484.157894736834,2025-01-28T18:23:14.100Z,23.7627832,90.4101435,3.7971916357787805,3.141,3.24,3,194
10536.84210526315,2025-01-28T18:23:14.155Z,23.7627823,90.4101425,3.748191635778781,3.102,3.14,3,194
10589.526315789464,2025-01-28T18:23:14.210Z,23.7627811,90.4101412,3.731191635778785,3.172,3.1,3,194
10642.21052631578,2025-01-28T18:23:14.265Z,23.7627798,90.41014,3.72419163577878,3.19,3.17,3,194
10694.894736842094,2025-01-28T18:23:14.320Z,23.7627787,90.4101391,3.7221916357787848,3.125,3.19,3,194
10747.578947368409,2025-01-28T18:23:14.375Z,23.7627775,90.410138,3.7101916357787843,3.094,3.13,3,194
10800.263157894724,2025-01-28T18:23:14.430Z,23.7627763,90.4101368,3.6881916357787787,3.167,3.09,3,194
10852.947368421039,2025-01-28T18:23:14.485Z,23.7627753,90.4101359,3.6591916357787824,3.111,3.17,3,194
10905.631578947354,2025-01-28T18:23:14.540Z,23.762774,90.4101348,3.6821916357787785,3.132,3.11,3,194
10958.315789473669,2025-01-28T18:23:14.595Z,23.7627728,90.4101336,3.6731916357787853,3.176,3.13,3,194
11011,2025-01-28T18:23:14.650Z,23.7627715,90.4101323,3.667191635778785,3.246,3.18,3,163
11066.611111111111,2025-01-28T18:23:14.705Z,23.7627704,90.4101312,3.66019163577878,3.214,3.25,3,163
11122.222222222223,2025-01-28T18:23:14.760Z,23.7627694,90.41013,3.6211916357787786,3.174,3.21,3,163
11177.833333333334,2025-01-28T18:23:14.815Z,23.7627683,90.410129,3.5941916357787846,3.149,3.17,3,163
11233.444444444445,2025-01-28T18:23:14.870Z,23.7627671,90.4101276,3.5901916357787798,3.21,3.15,3,163
11289.055555555557,2025-01-28T18:23:14.925Z,23.762766,90.4101265,3.5401916357787826,3.238,3.21,3,163
11344.666666666668,2025-01-28T18:23:14.980Z,23.7627647,90.4101254,3.559191635778781,3.209,3.24,3,163
11400.27777777778,2025-01-28T18:23:15.035Z,23.7627636,90.4101246,3.573191635778784,3.102,3.21,3,163
11455.88888888889,2025-01-28T18:23:15.090Z,23.7627624,90.4101231,3.5581916357787833,3.225,3.1,3,163
11511.500000000002,2025-01-28T18:23:15.145Z,23.7627615,90.4101219,3.53819163577878,3.186,3.23,3,163
11567.111111111113,2025-01-28T18:23:15.200Z,23.762761,90.4101205,3.4081916357787847,3.219,3.19,3,163
11622.722222222224,2025-01-28T18:23:15.255Z,23.7627602,90.4101189,3.3341916357787795,3.298,3.22,3,163
11678.333333333336,2025-01-28T18:23:15.310Z,23.7627593,90.4101172,3.184191635778781,3.43,3.3,3,163
11733.944444444447,2025-01-28T18:23:15.365Z,23.7627584,90.4101157,3.065191635778781,3.492,3.43,3,163
11789.555555555558,2025-01-28T18:23:15.420Z,23.7627571,90.410114,3.0211916357787842,3.63,3.5,3,163
11845.16666666667,2025-01-28T18:23:15.475Z,23.7627559,90.4101127,3.015191635778784,3.622,3.64,3,163
11900.777777777781,2025-01-28T18:23:15.530Z,23.7627544,90.4101114,3.0471916357787805,3.622,3.63,3,163
11956.388888888892,2025-01-28T18:23:15.585Z,23.7627531,90.41011,3.012191635778784,3.683,3.63,3,163
12012,2025-01-28T18:23:15.640Z,23.7627519,90.4101087,2.9391916357787835,3.665,3.69,3,173
12067.611111111111,2025-01-28T18:23:15.695Z,23.7627508,90.4101069,2.9011916357787797,3.723,3.67,3,173
12123.222222222223,2025-01-28T18:23:15.750Z,23.7627495,90.4101053,2.8721916357787833,3.764,3.73,3,173
12178.833333333334,2025-01-28T18:23:15.805Z,23.7627482,90.4101037,2.8691916357787832,3.785,3.77,3,173
12234.444444444445,2025-01-28T18:23:15.860Z,23.762747,90.4101022,2.91019163577878,3.731,3.79,3,173
12290.055555555557,2025-01-28T18:23:15.915Z,23.7627459,90.4101011,2.9421916357787836,3.597,3.74,3,173
12345.666666666668,2025-01-28T18:23:15.970Z,23.7627448,90.4101001,2.9701916357787823,3.423,3.6,3,173
12401.27777777778,2025-01-28T18:23:16.025Z,23.7627436,90.4100989,2.9691916357787846,3.446,3.43,3,173
12456.88888888889,2025-01-28T18:23:16.080Z,23.7627422,90.4100977,2.975191635778785,3.493,3.45,3,173
12512.500000000002,2025-01-28T18:23:16.135Z,23.7627411,90.4100965,2.950191635778779,3.416,3.5,3,173
12568.111111111113,2025-01-28T18:23:16.190Z,23.7627401,90.4100955,2.931191635778781,3.293,3.42,3,173
12623.722222222224,2025-01-28T18:23:16.245Z,23.7627391,90.4100947,2.9591916357787795,3.131,3.3,3,173
12679.333333333336,2025-01-28T18:23:16.300Z,23.762738,90.4100935,2.9451916357787837,3.13,3.14,3,173
12734.944444444447,2025-01-28T18:23:16.355Z,23.7627369,90.4100923,2.97419163577878,3.123,3.13,3,173
12790.555555555558,2025-01-28T18:23:16.410Z,23.7627358,90.4100912,2.998191635778781,3.073,3.13,3,173
12846.16666666667,2025-01-28T18:23:16.465Z,23.7627348,90.4100902,3.0031916357787836,3.022,3.08,3,173
12901.777777777781,2025-01-28T18:23:16.520Z,23.7627336,90.410089,2.981191635778785,3.09,3.03,3,173
12957.388888888892,2025-01-28T18:23:16.575Z,23.7627325,90.4100876,2.866191635778783,3.22,3.09,3,173
13013,2025-01-28T18:23:16.630Z,23.7627312,90.4100865,2.97719163577878,3.153,3.23,3,173
13068.611111111111,2025-01-28T18:23:16.685Z,23.7627301,90.4100856,2.941191635778779,3.112,3.16,3,173
13124.222222222223,2025-01-28T18:23:16.740Z,23.7627287,90.4100844,3.0331916357787847,3.144,3.12,3,173
13179.833333333334,2025-01-28T18:23:16.795Z,23.7627272,90.4100832,3.100191635778785,3.239,3.15,3,173
13235.444444444445,2025-01-28T18:23:16.850Z,23.7627259,90.410082,3.0951916357787823,3.281,3.24,3,173
